Gelatin_pct,Silk_pct,LH,PP,PS,T,TG_min,Used_crosslinker,Needle,Remarks,Printable
12.8,3.4,0.79,30,9,23.4,8,1,22G,Over-extrusion,0
12.3,3.5,0.76,50,12,22.7,2,0,25G,Not smooth,0
13.6,3.8,0.78,43,13,23.7,2,1,25G,No proper adhesion,0
15.1,4.5,0.69,57,10,23.6,6,1,22G,Fine strands and consistency,1
12.8,3.4,0.68,48,13,24.0,1,0,25G,Over-extrusion,0
12.2,2.9,0.63,30,9,24.5,8,1,22G,Not smooth,0
12.6,2.4,0.64,38,8,22.8,4,1,25G,Over-extrusion,0
14.4,4.9,0.7,56,9,24.3,4,1,22G,Printed without error,1
14.9,5.1,0.72,62,11,23.9,6,1,22G,Good print quality,1
13.4,3.2,0.75,51,14,23.5,10,1,22G,Over-extrusion,0
12.4,4.0,0.77,66,9,23.7,2,1,25G,Choked after 2 layers,0
15.2,5.8,0.71,55,12,23.6,5,1,22G,Good print quality,1
12.8,3.2,0.62,58,8,24.0,1,1,25G,Over-extrusion,0
15.9,4.2,0.72,50,9,22.5,6,1,22G,Stable structure,1
13.2,2.8,0.78,68,9,22.9,5,0,22G,Needs speed,0
12.5,3.7,0.67,57,13,22.1,10,1,22G,Choked after 2 layers,0
13.7,2.8,0.68,65,12,23.3,5,1,25G,No proper adhesion,0
12.4,2.8,0.78,37,14,22.8,1,0,25G,No proper adhesion,0
15.9,4.3,0.66,56,10,24.4,6,1,25G,Good print quality,1
12.4,3.7,0.64,65,14,24.1,0,0,25G,Not smooth,0
15.8,5.0,0.69,52,11,24.3,5,1,22G,No interruption,1
14.9,4.9,0.65,53,9,23.6,7,1,22G,Fine strands and consistency,1
13.1,3.5,0.7,70,8,22.3,7,1,22G,Needs speed,0
13.6,3.6,0.74,31,12,24.1,5,1,22G,Over-extrusion,0
14.5,5.0,0.67,60,12,22.7,5,1,22G,Printed without error,1
15.0,5.8,0.69,56,10,23.3,5,1,25G,Stable structure,1
13.7,2.7,0.61,47,11,23.9,10,1,22G,Needs speed,0
12.1,2.8,0.69,56,10,22.3,10,0,25G,Choked after 2 layers,0
12.3,3.9,0.61,50,12,23.0,7,1,22G,Over-extrusion,0
12.5,3.7,0.71,32,9,23.9,4,0,22G,Choked after 2 layers,0
15.6,4.6,0.66,64,10,23.4,7,1,22G,Stable structure,1
12.8,3.6,0.69,55,12,24.3,1,1,22G,Not smooth,0
14.7,5.7,0.7,63,10,22.7,4,1,25G,Good print,1
15.6,4.2,0.67,61,10,23.0,6,1,25G,Good print quality,1
12.7,2.5,0.64,58,8,24.0,10,0,25G,No proper adhesion,0
15.2,4.3,0.71,65,9,23.7,4,1,22G,No interruption,1
16.0,4.5,0.66,64,9,24.5,4,1,25G,No interruption,1
15.1,4.6,0.66,57,12,24.4,4,1,22G,Smooth layers,1
16.0,5.1,0.74,63,9,22.7,4,1,22G,Stable structure,1
15.8,4.4,0.74,58,10,23.7,5,1,25G,Smooth layers,1
15.3,5.4,0.7,52,11,23.3,4,1,25G,Stable structure,1
15.5,4.6,0.69,53,12,23.3,6,1,25G,Fine strands and consistency,1
13.9,2.5,0.76,30,12,22.4,0,1,22G,No proper adhesion,0
15.9,4.7,0.72,64,11,24.0,6,1,22G,Good print,1
14.5,4.4,0.65,54,12,23.3,7,1,22G,Fine strands and consistency,1
16.0,4.3,0.71,53,10,24.4,4,1,25G,Printed without error,1
